Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
479,Isaiah Thomas,PG,NOP,3.0,9.0,1.3,1.7,0.3,0.0,2.0,7.7
480,Khyri Thomas,SG,HOU,6.4,13.2,3.6,5.0,1.8,1.2,1.2,16.4
481,Matt Thomas,SG,TOR,0.9,2.4,0.8,0.3,0.1,0.0,0.2,2.7
481,Matt Thomas,SG,UTA,1.4,3.4,1.2,0.5,0.1,0.0,0.4,3.6
482,Tristan Thompson,PF,BOS,3.1,6.0,8.1,1.2,0.4,0.6,1.1,7.6
483,Sindarius Thornwell,SG,NOP,0.5,1.5,0.4,0.3,0.4,0.1,0.3,1.2
483,Sindarius Thornwell,SG,ORL,1.1,3.6,1.9,2.4,1.1,0.1,0.4,3.4
484,Matisse Thybulle,SG,PHI,1.6,3.7,1.9,1.0,1.6,1.1,0.5,3.9
485,Killian Tillie,C,MEM,1.1,3.2,1.3,0.4,0.3,0.4,0.1,3.2
486,Xavier Tillman Sr.,PF,MEM,2.8,5.1,4.3,1.3,0.7,0.6,0.8,6.6
487,Anthony Tolliver,PF,PHI,0.4,1.5,0.9,0.2,0.3,0.2,0.3,1.5
488,Obi Toppin,PF,NYK,1.7,3.4,2.2,0.5,0.3,0.2,0.4,4.1
489,Juan Toscano-Anderson,SG,GSW,2.3,3.9,4.4,2.8,0.8,0.5,1.2,5.7
490,Axel Toupane,SF,MIL,0.5,1.4,0.8,0.5,0.3,0.4,0.0,1.8
491,Karl-Anthony Towns,C,MIN,8.5,17.5,10.6,4.5,0.8,1.1,3.2,24.8
492,Gary Trent Jr.,SG,POR,5.3,12.8,2.2,1.4,0.9,0.1,0.8,15.0
492,Gary Trent Jr.,SG,TOR,6.1,15.4,3.6,1.3,1.1,0.2,0.7,16.2
493,P.J. Tucker,PF,HOU,1.5,4.1,4.6,1.4,0.9,0.6,1.0,4.4
493,P.J. Tucker,PF,MIL,0.9,2.3,2.8,0.8,0.5,0.1,0.4,2.6
494,Rayjon Tucker,PG,PHI,0.6,1.3,0.8,0.4,0.1,0.0,0.3,2.4
495,Myles Turner,C,IND,4.4,9.2,6.5,1.0,0.9,3.4,1.4,12.6
496,Jonas Valančiūnas,C,MEM,7.1,12.0,12.5,1.8,0.6,0.9,1.6,17.1
497,Denzel Valentine,SG,CHI,2.5,6.7,3.2,1.7,0.5,0.1,0.7,6.5
498,Jarred Vanderbilt,PF,MIN,2.2,3.7,5.8,1.2,1.0,0.7,0.8,5.4
499,Fred VanVleet,SG,TOR,6.5,16.7,4.2,6.3,1.7,0.7,1.8,19.6
500,Anderson Varejão,C,CLE,0.8,3.2,4.0,0.6,0.0,0.4,0.2,2.6
501,Devin Vassell,SF,SAS,2.0,4.9,2.8,0.9,0.7,0.3,0.4,5.5
502,Gabe Vincent,PG,MIA,1.8,4.7,1.1,1.3,0.4,0.0,0.7,4.8
503,Noah Vonleh,PF,BRK,0.0,0.8,0.3,0.3,0.0,0.0,0.5,0.0
504,Nikola Vučević,C,ORL,9.9,20.6,11.8,3.8,1.0,0.6,1.9,24.5
504,Nikola Vučević,C,CHI,8.8,18.8,11.5,3.9,0.9,0.8,1.7,21.5
505,Dean Wade,PF,CLE,2.1,4.9,3.4,1.2,0.6,0.3,0.5,6.0
506,Moritz Wagner,C,WAS,2.5,4.9,2.9,1.3,0.9,0.3,0.8,7.1
506,Moritz Wagner,C,BOS,0.4,1.6,2.1,0.7,0.0,0.1,1.0,1.2
506,Moritz Wagner,C,ORL,3.5,8.5,4.9,1.1,0.4,0.8,1.2,11.0
507,Kemba Walker,PG,BOS,6.6,15.7,4.0,4.9,1.1,0.3,2.0,19.3
508,Lonnie Walker,SG,SAS,4.3,10.2,2.6,1.7,0.5,0.3,1.1,11.2
509,John Wall,PG,HOU,7.3,18.2,3.2,6.9,1.1,0.8,3.5,20.6
510,Brad Wanamaker,PG,GSW,1.6,4.4,1.7,2.5,0.7,0.2,0.9,4.7
510,Brad Wanamaker,PG,CHO,2.5,5.7,1.8,3.4,0.8,0.2,1.5,6.9
511,T.J. Warren,SF,IND,6.8,12.8,3.5,1.3,0.5,0.0,1.0,15.5
512,P.J. Washington,PF,CHO,4.7,10.7,6.5,2.5,1.1,1.2,2.0,12.9
513,Yuta Watanabe,SF,TOR,1.6,3.6,3.2,0.8,0.5,0.4,0.4,4.4
514,Tremont Waters,PG,BOS,1.3,3.2,0.8,2.4,0.6,0.0,1.0,3.8
515,Paul Watson,SF,TOR,1.4,3.0,1.7,0.6,0.2,0.1,0.3,4.1
516,Quinndary Weatherspoon,SG,SAS,0.8,1.8,0.6,0.4,0.4,0.1,0.5,2.3
517,Russell Westbrook,PG,WAS,8.4,19.0,11.5,11.7,1.4,0.4,4.8,22.2
518,Coby White,PG,CHI,5.4,13.1,4.1,4.8,0.6,0.2,2.3,15.1
519,Derrick White,SG,SAS,5.2,12.6,3.0,3.5,0.7,1.0,1.3,15.4
520,Hassan Whiteside,C,SAC,3.5,6.2,6.0,0.6,0.3,1.3,1.1,8.1
521,Greg Whittington,PF,DEN,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
522,Andrew Wiggins,PF,GSW,7.1,14.9,4.9,2.4,0.9,1.0,1.8,18.6
523,Grant Williams,PF,BOS,1.7,3.9,2.8,1.0,0.5,0.4,0.9,4.7
524,Kenrich Williams,PF,OKC,3.3,6.2,4.1,2.3,0.8,0.3,1.2,8.0
525,Lou Williams,PG,LAC,4.3,10.2,2.1,3.4,0.9,0.1,1.6,12.1
525,Lou Williams,PG,ATL,3.5,9.0,2.1,3.4,0.3,0.1,1.8,10.0
526,Patrick Williams,PF,CHI,3.6,7.4,4.6,1.4,0.9,0.6,1.4,9.2
527,Robert Williams,C,BOS,3.6,5.0,6.9,1.8,0.8,1.8,1.0,8.0
528,Zion Williamson,PF,NOP,1.9,4.8,3.2,0.7,0.3,0.5,0.6,5.2
529,D.J. Wilson,PF,MIL,1.3,3.6,2.1,0.3,0.1,0.3,0.3,3.6
529,D.J. Wilson,PF,HOU,2.3,5.4,3.8,0.9,0.4,0.5,0.8,6.1
530,Dylan Windler,SF,CLE,1.8,4.2,3.5,1.1,0.6,0.4,1.0,5.2
531,Justise Winslow,SF,MEM,2.8,8.1,4.5,1.9,0.6,0.5,1.4,6.8
532,Cassius Winston,PG,WAS,0.6,1.5,0.4,0.5,0.1,0.0,0.2,1.9
533,James Wiseman,C,GSW,4.9,9.4,5.8,0.7,0.3,0.9,1.5,11.5
534,Christian Wood,C,HOU,8.0,15.6,9.6,1.7,0.8,1.2,2.0,21.0
535,Robert Woodard,SF,SAC,0.6,1.5,1.2,0.2,0.0,0.2,0.1,1.5
536,Delon Wright,SG-PG,DET,3.8,8.1,4.6,5.0,1.6,0.5,1.3,10.4
536,Delon Wright,PG,SAC,3.9,8.3,3.9,3.6,1.6,0.4,1.3,10.0
537,Thaddeus Young,PF,CHI,5.4,9.7,6.2,4.3,1.1,0.6,2.0,12.1
538,Trae Young,PG,ATL,7.7,17.7,3.9,9.4,0.8,0.2,4.1,25.3
539,Cody Zeller,C,CHO,3.8,6.8,6.8,1.8,0.6,0.4,1.1,9.4
540,Ivica Zubac,C,LAC,3.6,5.5,7.2,1.3,0.3,0.9,1.1,9.0
