Stevilka igralca,Igralec,Pozicija,ID ekipe,FG,FGA,Skoki,Asistence,Ukradene žoge,Blokade,Izgubljene žoge,Tocke
108,Quinn Cook,PG,CLE,2.4,6.0,1.7,1.9,0.4,0.0,0.6,6.1
109,Tyler Cook,SF-PF,BRK,0.3,0.8,0.5,0.5,0.0,0.0,0.3,0.5
109,Tyler Cook,SF,DET,2.4,3.6,3.3,0.5,0.3,0.1,0.7,5.5
110,DeMarcus Cousins,C,HOU,3.2,8.4,7.6,2.4,0.8,0.7,1.6,9.6
110,DeMarcus Cousins,C,LAC,3.2,5.9,4.5,1.0,0.8,0.4,1.6,7.8
111,Robert Covington,PF,POR,2.9,7.3,6.7,1.7,1.4,1.2,0.9,8.5
112,Torrey Craig,SF,MIL,1.0,2.6,2.4,0.9,0.5,0.4,0.3,2.5
112,Torrey Craig,SF,PHO,2.8,5.7,4.8,1.0,0.6,0.6,0.6,7.2
113,Jae Crowder,PF,PHO,3.3,8.2,4.7,2.1,0.8,0.5,0.9,10.1
114,Jarrett Culver,SG,MIN,2.0,4.9,3.1,0.7,0.5,0.3,0.8,5.3
115,Seth Curry,SG,PHI,4.5,9.7,2.4,2.7,0.8,0.1,1.1,12.5
116,Stephen Curry,PG,GSW,0.3,1.0,0.1,0.1,0.0,0.1,0.1,1.3
118,Anthony Davis,PF,LAL,8.4,17.0,7.9,3.1,1.3,1.6,2.1,21.8
119,Ed Davis,C,MIN,0.8,1.9,5.0,0.9,0.6,0.6,0.3,2.1
120,Terence Davis,SG,TOR,2.6,6.2,1.9,1.1,0.5,0.2,0.9,6.9
120,Terence Davis,SG,SAC,4.0,9.1,3.3,1.7,1.0,0.3,1.3,11.1
121,Gabriel Deck,PF,OKC,3.2,6.7,4.0,2.4,0.8,0.0,0.6,8.4
122,Dewayne Dedmon,C,MIA,2.9,4.1,5.4,0.8,0.6,0.4,0.8,7.1
123,Matthew Dellavedova,PG,CLE,1.1,4.3,1.8,4.5,0.3,0.1,0.5,2.8
124,DeMar DeRozan,PF,SAS,7.5,15.1,4.2,6.9,0.9,0.2,2.0,21.6
125,Mamadi Diakite,PF,MIL,1.1,2.9,2.4,0.6,0.5,0.4,0.2,3.1
126,Hamidou Diallo,SG-SF,OKC,4.5,9.3,5.2,2.4,1.0,0.4,1.5,11.9
126,Hamidou Diallo,SF,DET,4.1,8.7,5.4,1.2,0.5,0.6,1.4,11.2
127,Gorgui Dieng,C,MEM,2.5,4.9,4.5,1.3,0.8,0.6,1.0,7.9
127,Gorgui Dieng,C,SAS,1.8,3.4,2.6,1.2,0.6,0.1,0.6,5.3
